Time_s,depth_mm
17.96743274,7.136174846
17.97690964,7.135847219
17.98601913,7.136313828
17.99916625,7.136738236
18.04221034,7.136405663
18.05126572,7.136487577
18.06074643,7.136760595
18.07053781,7.13661415
18.11676955,7.136713418
18.12608814,7.137080759
18.13555646,7.136830071
18.14545941,7.136879735
18.19096756,7.137485325
18.20012903,7.137237125
18.20933485,7.137083247
18.22122455,7.136678681
18.26457882,7.137269405
18.27381754,7.1374481
18.28281522,7.137234667
18.29444122,7.137904788
18.33917212,7.137291734
18.34828734,7.13805372
18.35760522,7.138160451
18.3672874,7.137659075
18.41269684,7.137661562
18.42197013,7.137701276
18.43121457,7.138011519
18.44209766,7.138284537
18.48637986,7.137852666
18.49572253,7.138157964
18.50481462,7.138612164
18.51585674,7.137971806
18.56000304,7.137884946
18.56914115,7.138001598
18.57847142,7.138038824
18.58844829,7.13862706
18.63394356,7.138584859
18.64313602,7.138393756
18.65231586,7.137808007
18.663481,7.138220006
18.70689869,7.138535225
18.71607423,7.138373884
18.72548652,7.138277104
18.73634887,7.138701512
18.7811327,7.139475906
18.79051948,7.138552609
18.79978204,7.139011785
18.81278396,7.138957175
18.85485911,7.139279827
18.86413217,7.138689103
18.87359762,7.138991913
18.88322473,7.139359254
18.92779374,7.138954688
18.9370718,7.139391534
18.94604445,7.138949712
18.95558262,7.138932358
19.00240254,7.139691857
19.01151252,7.139356766
19.02073717,7.139108565
19.03048301,7.1397961
19.07878375,7.139116029
19.08789921,7.139083748
19.09703684,7.139746436
19.10818863,7.139202888
19.15555453,7.139835814
19.16468787,7.139905289
19.17380619,7.139987204
19.1853075,7.140051734
19.23103499,7.139498235
19.24015141,7.139314565
19.24937654,7.140481117
19.26064324,7.140458788
19.30745745,7.140059197
19.31656599,7.140113777
19.32569766,7.139994667
19.33617496,7.139992179
19.38266158,7.140277605
19.39189386,7.139997125
19.40104866,7.14059777
19.41049552,7.140808745
19.45795369,7.140592824
19.46717715,7.140572952
19.47628903,7.140396745
19.48781538,7.140205612
19.53383112,7.140222996
19.54277349,7.141066896
19.55193448,7.140689605
19.56349444,7.140481117
19.60884571,7.140647434
19.61813092,7.140414099
19.62745786,7.140702013
19.63845682,7.140833562
19.68429661,7.141104122
19.69373345,7.140823641
19.70283222,7.140399233
19.71294236,7.14057544
19.76966715,7.140706989
19.7788384,7.140697068
19.78802896,7.141074329
19.79966521,7.141503713
19.84409642,7.140823641
19.85331583,7.140992415
19.86240768,7.141178573
19.87402797,7.14120339
19.91933107,7.141069354
19.92870688,7.141109067
19.93788218,7.140865842
19.94723487,7.141411877
19.99381256,7.141612932
20.0031085,7.141463999
20.01265311,7.141037104
20.02294803,7.141853669
20.07172918,7.141178573
20.08074546,7.141238128
20.09005237,7.141935584
20.1014421,7.141655133
20.14868736,7.141483871
20.15778351,7.141888437
20.16703129,7.141352322
20.17824435,7.141310121
20.22289944,7.142379863
20.23243237,7.14206962
20.24170208,7.141652645
20.25231266,7.142566021
20.297822,7.141811498
20.306952,7.142533741
20.31601286,7.142747204
20.32794547,7.142449369
20.37385893,7.142412143
20.38290811,7.142508924
20.39209366,7.141885949
20.40356612,7.142623118
20.44903636,7.142032394
20.45820713,7.142434473
20.46762323,7.142700057
20.47831798,7.142456802
20.52305651,7.14210187
20.53210831,7.142434473
20.54168081,7.14323863
20.55460143,7.142657856
20.59441328,7.142908545
20.60373545,7.142876264
20.61286378,7.142367454
20.62381887,7.142446881
20.66507363,7.142719899
20.67441201,7.142908545
20.68398285,7.142446881
20.69505405,7.142709978
20.73491454,7.143409891
20.74414945,7.142811734
20.75362515,7.143278343
20.76528668,7.143586129
20.8059454,7.143447147
20.81511426,7.143017734
20.82447052,7.143608458
20.83735538,7.143548903
20.87730527,7.143444659
20.88649154,7.142814222
20.89561939,7.143558824
